Id,Prediction
r90_c1,4.0
r135_c1,5.0
r152_c1,4.0
r165_c1,3.0
r418_c1,3.0
r595_c1,2.0
r708_c1,1.0
r967_c1,5.0
r1107_c1,4.0
r1495_c1,4.0
r1850_c1,4.0
r1970_c1,3.0
r2097_c1,5.0
r2284_c1,3.0
r2327_c1,4.0
r2347_c1,3.0
r2820_c1,3.0
r2983_c1,3.0
r3135_c1,4.0
r3199_c1,4.0
r3415_c1,1.0
r3653_c1,3.0
r3657_c1,3.0
r3674_c1,3.0
r3822_c1,2.0
r3947_c1,2.0
r4146_c1,5.0
r4311_c1,2.0
r4341_c1,4.0
r4405_c1,4.0
r4607_c1,4.0
r4834_c1,4.0
r5042_c1,3.0
r5101_c1,5.0
r5153_c1,2.0
r5387_c1,3.0
r5406_c1,5.0
r5419_c1,3.0
r5512_c1,5.0
r5772_c1,3.0
r6095_c1,3.0
r6219_c1,4.0
r6388_c1,3.0
r6442_c1,4.0
r6772_c1,3.0
r6862_c1,5.0
r7027_c1,3.0
r7214_c1,4.0
r7490_c1,2.0
r7492_c1,2.0
r7558_c1,3.0
r7828_c1,3.0
r7859_c1,4.0
r7959_c1,3.0
r8006_c1,3.0
r8071_c1,4.0
r8222_c1,2.0
r8251_c1,2.0
r8370_c1,3.0
r8377_c1,1.0
r8475_c1,4.0
r8716_c1,2.0
r8742_c1,4.0
r8813_c1,4.0
r8958_c1,4.0
r9140_c1,3.0
r9147_c1,2.0
r9198_c1,3.0
r9453_c1,4.0
r9486_c1,3.0
r9600_c1,4.0
r9656_c1,4.0
r9709_c1,4.0
r9801_c1,3.0
r9964_c1,3.0
r9992_c1,5.0
r5_c2,2.0
r25_c2,3.0
r44_c2,4.0
r143_c2,2.0
r241_c2,2.0
r433_c2,3.0
r588_c2,3.0
r743_c2,2.0
r1191_c2,4.0
r1921_c2,3.0
r2012_c2,5.0
r2029_c2,2.0
r2047_c2,4.0
r2049_c2,5.0
r2062_c2,4.0
r2138_c2,4.0
r2268_c2,3.0
r2357_c2,2.0
r2503_c2,4.0
r2512_c2,4.0
r2530_c2,4.0
r2553_c2,2.0
r2590_c2,4.0
r2682_c2,3.0
r2743_c2,3.0
r3278_c2,4.0
r3288_c2,1.0
r3420_c2,4.0
r3537_c2,4.0
r3724_c2,4.0
r3828_c2,4.0
r3903_c2,4.0
r3919_c2,2.0
r3963_c2,3.0
r3974_c2,4.0
r4325_c2,2.0
r4361_c2,1.0
r4434_c2,4.0
r4917_c2,3.0
r5167_c2,3.0
r5314_c2,4.0
r5402_c2,1.0
r5471_c2,4.0
r5491_c2,5.0
r5505_c2,5.0
r5603_c2,3.0
r5633_c2,3.0
r5819_c2,3.0
r5856_c2,2.0
r5881_c2,4.0
r5918_c2,4.0
r6084_c2,4.0
r6116_c2,4.0
r6117_c2,4.0
r6231_c2,3.0
r6299_c2,4.0
r6303_c2,3.0
r6550_c2,4.0
r6561_c2,4.0
r6671_c2,4.0
r6764_c2,4.0
r6773_c2,4.0
r6799_c2,4.0
r6995_c2,3.0
r7001_c2,4.0
r7005_c2,5.0
r7086_c2,3.0
r7179_c2,5.0
r7517_c2,5.0
r7525_c2,3.0
r7561_c2,5.0
r7875_c2,5.0
r8075_c2,4.0
r8079_c2,5.0
r8165_c2,5.0
r8242_c2,2.0
r8269_c2,3.0
r8280_c2,3.0
r8284_c2,3.0
r8359_c2,4.0
r8401_c2,5.0
r8411_c2,5.0
r8437_c2,4.0
r8617_c2,5.0
r8697_c2,2.0
r8717_c2,3.0
r8763_c2,4.0
r8784_c2,3.0
r8833_c2,4.0
r8905_c2,4.0
r8969_c2,3.0
r8981_c2,4.0
r9164_c2,3.0
r9494_c2,2.0
r9618_c2,4.0
r9690_c2,5.0
r9703_c2,4.0
r9710_c2,4.0
r9734_c2,5.0
r9838_c2,4.0
r9840_c2,4.0
r9854_c2,3.0
r57_c3,3.0
r62_c3,4.0
r71_c3,4.0
r120_c3,5.0
r135_c3,5.0
r310_c3,3.0
r345_c3,4.0
r349_c3,4.0
r428_c3,4.0
r612_c3,5.0
r625_c3,4.0
r636_c3,5.0
r737_c3,2.0
r923_c3,3.0
r1043_c3,1.0
r1128_c3,3.0
r1165_c3,4.0
r1185_c3,2.0
r1494_c3,2.0
r1615_c3,5.0
r1734_c3,3.0
r1938_c3,2.0
r1949_c3,5.0
r1954_c3,4.0
r2254_c3,4.0
r2272_c3,5.0
r2290_c3,4.0
r2305_c3,3.0
r2308_c3,3.0
r2326_c3,2.0
r2373_c3,5.0
r2379_c3,3.0
r2442_c3,4.0
r2464_c3,3.0
r2485_c3,3.0
r2529_c3,3.0
r2654_c3,3.0
r2713_c3,5.0
r2749_c3,3.0
r2847_c3,2.0
r2882_c3,4.0
r2885_c3,1.0
r2890_c3,3.0
r3074_c3,3.0
r3166_c3,3.0
r3319_c3,3.0
r3335_c3,3.0
r3423_c3,2.0
r3733_c3,5.0
r3747_c3,4.0
r3768_c3,3.0
r3831_c3,1.0
r3846_c3,3.0
r4007_c3,3.0
r4148_c3,3.0
r4184_c3,2.0
r4244_c3,2.0
r4278_c3,3.0
r4303_c3,5.0
r4449_c3,5.0
r4536_c3,3.0
r4764_c3,3.0
r4810_c3,5.0
r4811_c3,5.0
r4827_c3,1.0
r4904_c3,4.0
r4913_c3,4.0
r4941_c3,5.0
r4953_c3,3.0
r4957_c3,3.0
r5093_c3,3.0
r5102_c3,4.0
r5117_c3,3.0
r5153_c3,3.0
r5227_c3,1.0
r5347_c3,3.0
r5678_c3,3.0
r5699_c3,2.0
r5728_c3,1.0
r5757_c3,2.0
r5881_c3,2.0
r6003_c3,5.0
r6080_c3,4.0
r6164_c3,4.0
r6231_c3,2.0
r6241_c3,3.0
r6283_c3,3.0
r6313_c3,4.0
